trial,lap,entrant,lap_time,cumulative_time,weather,wetness
1,1,Hamilton (Mercedes),43.32178,43.32178,Sunny,0.05
1,2,Hamilton (Mercedes),43.5939,86.91568,Sunny,0.05
1,3,Hamilton (Mercedes),42.16981,129.08549,Sunny,0.05
1,1,Verstappen (Red Bull),41.76392,41.76392,Sunny,0.05
1,2,Verstappen (Red Bull),43.12071,84.88463,Sunny,0.05
1,3,Verstappen (Red Bull),44.12954,129.01417,Sunny,0.05
1,1,Norris (McLaren),41.92131,41.92131,Sunny,0.05
1,2,Norris (McLaren),42.79984,84.72115,Sunny,0.05
1,3,Norris (McLaren),43.4673,128.18845,Sunny,0.05
2,1,Hamilton (Mercedes),42.84735,42.84735,Sunny,0.05
2,2,Hamilton (Mercedes),42.97153,85.81888,Sunny,0.05
2,3,Hamilton (Mercedes),42.91405,128.73293,Sunny,0.05
2,1,Verstappen (Red Bull),43.33939,43.33939,Sunny,0.05
2,2,Verstappen (Red Bull),42.80208,86.14148,Sunny,0.05
2,3,Verstappen (Red Bull),42.88794,129.02942,Sunny,0.05
2,1,Norris (McLaren),42.42862,42.42862,Sunny,0.05
2,2,Norris (McLaren),43.76142,86.19004,Sunny,0.05
2,3,Norris (McLaren),44.52409,130.71413,Sunny,0.05
3,1,Hamilton (Mercedes),43.47345,43.47345,Sunny,0.05
3,2,Hamilton (Mercedes),42.93237,86.40582,Sunny,0.05
3,3,Hamilton (Mercedes),42.41227,128.81809,Sunny,0.05
3,1,Verstappen (Red Bull),43.03552,43.03552,Sunny,0.05
3,2,Verstappen (Red Bull),43.01866,86.05418,Sunny,0.05
3,3,Verstappen (Red Bull),42.61586,128.67004,Sunny,0.05
3,1,Norris (McLaren),41.60902,41.60902,Sunny,0.05
3,2,Norris (McLaren),42.70388,84.3129,Sunny,0.05
3,3,Norris (McLaren),42.4612,126.7741,Sunny,0.05
4,1,Hamilton (Mercedes),42.59657,42.59657,Sunny,0.05
4,2,Hamilton (Mercedes),43.23517,85.83174,Sunny,0.05
4,3,Hamilton (Mercedes),42.50624,128.33798,Sunny,0.05
4,1,Verstappen (Red Bull),42.59838,42.59838,Sunny,0.05
4,2,Verstappen (Red Bull),43.50141,86.09979,Sunny,0.05
4,3,Verstappen (Red Bull),42.28081,128.3806,Sunny,0.05
4,1,Norris (McLaren),43.19005,43.19005,Sunny,0.05
4,2,Norris (McLaren),43.69439,86.88444,Sunny,0.05
4,3,Norris (McLaren),42.78646,129.6709,Sunny,0.05
5,1,Hamilton (Mercedes),42.23344,42.23344,Sunny,0.05
5,2,Hamilton (Mercedes),43.22917,85.46261,Sunny,0.05
5,3,Hamilton (Mercedes),43.57542,129.03802,Sunny,0.05
5,1,Verstappen (Red Bull),41.70662,41.70662,Sunny,0.05
5,2,Verstappen (Red Bull),42.53642,84.24305,Sunny,0.05
5,3,Verstappen (Red Bull),42.43705,126.6801,Sunny,0.05
5,1,Norris (McLaren),44.15816,44.15816,Sunny,0.05
5,2,Norris (McLaren),42.0773,86.23547,Sunny,0.05
5,3,Norris (McLaren),43.04449,129.27996,Sunny,0.05
6,1,Hamilton (Mercedes),42.24366,42.24366,Sunny,0.05
6,2,Hamilton (Mercedes),42.5131,84.75676,Sunny,0.05
6,3,Hamilton (Mercedes),43.08241,127.83917,Sunny,0.05
6,1,Verstappen (Red Bull),42.51018,42.51018,Sunny,0.05
6,2,Verstappen (Red Bull),42.62667,85.13685,Sunny,0.05
6,3,Verstappen (Red Bull),42.28699,127.42384,Sunny,0.05
6,1,Norris (McLaren),42.08881,42.08881,Sunny,0.05
6,2,Norris (McLaren),43.88316,85.97197,Sunny,0.05
6,3,Norris (McLaren),44.28179,130.25377,Sunny,0.05
7,1,Hamilton (Mercedes),43.06169,43.06169,Sunny,0.05
7,2,Hamilton (Mercedes),42.87383,85.93552,Sunny,0.05
7,3,Hamilton (Mercedes),43.82001,129.75553,Sunny,0.05
7,1,Verstappen (Red Bull),43.01647,43.01647,Sunny,0.05
7,2,Verstappen (Red Bull),42.87449,85.89095,Sunny,0.05
7,3,Verstappen (Red Bull),43.25181,129.14277,Sunny,0.05
7,1,Norris (McLaren),42.58418,42.58418,Sunny,0.05
7,2,Norris (McLaren),42.61781,85.20198,Sunny,0.05
7,3,Norris (McLaren),43.29323,128.49522,Sunny,0.05
8,1,Hamilton (Mercedes),42.44139,42.44139,Sunny,0.05
8,2,Hamilton (Mercedes),43.09294,85.53433,Sunny,0.05
8,3,Hamilton (Mercedes),43.20922,128.74355,Sunny,0.05
8,1,Verstappen (Red Bull),43.05655,43.05655,Sunny,0.05
8,2,Verstappen (Red Bull),43.02113,86.07767,Sunny,0.05
8,3,Verstappen (Red Bull),41.9069,127.98458,Sunny,0.05
8,1,Norris (McLaren),43.12805,43.12805,Sunny,0.05
8,2,Norris (McLaren),43.47225,86.6003,Sunny,0.05
8,3,Norris (McLaren),43.95571,130.55601,Sunny,0.05
9,1,Hamilton (Mercedes),43.635,43.635,Sunny,0.05
9,2,Hamilton (Mercedes),42.92483,86.55983,Sunny,0.05
9,3,Hamilton (Mercedes),42.96527,129.5251,Sunny,0.05
9,1,Verstappen (Red Bull),42.03159,42.03159,Sunny,0.05
9,2,Verstappen (Red Bull),42.44264,84.47422,Sunny,0.05
9,3,Verstappen (Red Bull),42.24904,126.72326,Sunny,0.05
9,1,Norris (McLaren),42.28316,42.28316,Sunny,0.05
9,2,Norris (McLaren),43.0041,85.28726,Sunny,0.05
