trial,lap,entrant,lap_time,cumulative_time,weather,wetness
1,1,Hamilton (Mercedes),46.20681,46.20681,Cloudy,0.3
1,2,Hamilton (Mercedes),46.47892,92.68574,Cloudy,0.3
1,3,Hamilton (Mercedes),45.05484,137.74058,Cloudy,0.3
1,4,Hamilton (Mercedes),45.03866,182.77924,Cloudy,0.3
1,5,Hamilton (Mercedes),46.347,229.12624,Cloudy,0.3
1,1,Verstappen (Red Bull),46.82693,46.82693,Cloudy,0.3
1,2,Verstappen (Red Bull),44.35618,91.18311,Cloudy,0.3
1,3,Verstappen (Red Bull),45.07202,136.25513,Cloudy,0.3
1,4,Verstappen (Red Bull),45.61587,181.87101,Cloudy,0.3
1,5,Verstappen (Red Bull),45.18072,227.05172,Cloudy,0.3
1,1,Norris (McLaren),45.54688,45.54688,Cloudy,0.3
1,2,Norris (McLaren),45.47373,91.02061,Cloudy,0.3
1,3,Norris (McLaren),46.43946,137.46007,Cloudy,0.3
1,4,Norris (McLaren),45.78004,183.24011,Cloudy,0.3
1,5,Norris (McLaren),45.88541,229.12552,Cloudy,0.3
2,1,Hamilton (Mercedes),45.3359,45.3359,Cloudy,0.3
2,2,Hamilton (Mercedes),46.38309,91.71899,Cloudy,0.3
2,3,Hamilton (Mercedes),46.98233,138.70132,Cloudy,0.3
2,4,Hamilton (Mercedes),46.35848,185.0598,Cloudy,0.3
2,5,Hamilton (Mercedes),45.8174,230.8772,Cloudy,0.3
2,1,Verstappen (Red Bull),44.72952,44.72952,Cloudy,0.3
2,2,Verstappen (Red Bull),45.73291,90.46242,Cloudy,0.3
2,3,Verstappen (Red Bull),45.71605,136.17847,Cloudy,0.3
2,4,Verstappen (Red Bull),45.31325,181.49172,Cloudy,0.3
2,5,Verstappen (Red Bull),44.10172,225.59344,Cloudy,0.3
2,1,Norris (McLaren),45.15948,45.15948,Cloudy,0.3
2,2,Norris (McLaren),44.9168,90.07627,Cloudy,0.3
2,3,Norris (McLaren),45.06966,135.14594,Cloudy,0.3
2,4,Norris (McLaren),45.88243,181.02836,Cloudy,0.3
2,5,Norris (McLaren),44.95469,225.98305,Cloudy,0.3
3,1,Hamilton (Mercedes),45.84332,45.84332,Cloudy,0.3
3,2,Hamilton (Mercedes),46.7141,92.55743,Cloudy,0.3
3,3,Hamilton (Mercedes),45.5371,138.09453,Cloudy,0.3
3,4,Hamilton (Mercedes),45.93416,184.02869,Cloudy,0.3
3,5,Hamilton (Mercedes),46.33043,230.35911,Cloudy,0.3
3,1,Verstappen (Red Bull),45.06112,45.06112,Cloudy,0.3
3,2,Verstappen (Red Bull),44.54407,89.60519,Cloudy,0.3
3,3,Verstappen (Red Bull),45.57667,135.18186,Cloudy,0.3
3,4,Verstappen (Red Bull),45.93574,181.11761,Cloudy,0.3
3,5,Verstappen (Red Bull),44.40401,225.52162,Cloudy,0.3
3,1,Norris (McLaren),45.454,45.454,Cloudy,0.3
3,2,Norris (McLaren),45.33204,90.78604,Cloudy,0.3
3,3,Norris (McLaren),46.61376,137.3998,Cloudy,0.3
3,4,Norris (McLaren),44.5329,181.93271,Cloudy,0.3
3,5,Norris (McLaren),45.50009,227.4328,Cloudy,0.3
4,1,Hamilton (Mercedes),45.12869,45.12869,Cloudy,0.3
4,2,Hamilton (Mercedes),45.39813,90.52682,Cloudy,0.3
4,3,Hamilton (Mercedes),45.96744,136.49426,Cloudy,0.3
4,4,Hamilton (Mercedes),45.75827,182.25253,Cloudy,0.3
4,5,Hamilton (Mercedes),45.87061,228.12314,Cloudy,0.3
4,1,Verstappen (Red Bull),44.98438,44.98438,Cloudy,0.3
4,2,Verstappen (Red Bull),44.49266,89.47704,Cloudy,0.3
4,3,Verstappen (Red Bull),45.95473,135.43177,Cloudy,0.3
4,4,Verstappen (Red Bull),46.27954,181.71131,Cloudy,0.3
4,5,Verstappen (Red Bull),45.403,227.1143,Cloudy,0.3
4,1,Norris (McLaren),45.42253,45.42253,Cloudy,0.3
4,2,Norris (McLaren),46.62677,92.0493,Cloudy,0.3
4,3,Norris (McLaren),46.04314,138.09244,Cloudy,0.3
4,4,Norris (McLaren),45.8689,183.96134,Cloudy,0.3
4,5,Norris (McLaren),46.33198,230.29332,Cloudy,0.3
5,1,Hamilton (Mercedes),45.45812,45.45812,Cloudy,0.3
5,2,Hamilton (Mercedes),45.48454,90.94266,Cloudy,0.3
5,3,Hamilton (Mercedes),46.01523,136.95789,Cloudy,0.3
5,4,Hamilton (Mercedes),45.32642,182.28431,Cloudy,0.3
5,5,Hamilton (Mercedes),45.97797,228.26228,Cloudy,0.3
5,1,Verstappen (Red Bull),45.55598,45.55598,Cloudy,0.3
5,2,Verstappen (Red Bull),45.75393,91.30992,Cloudy,0.3
5,3,Verstappen (Red Bull),45.71851,137.02843,Cloudy,0.3
5,4,Verstappen (Red Bull),44.60429,181.63272,Cloudy,0.3
5,5,Verstappen (Red Bull),45.33945,226.97217,Cloudy,0.3
5,1,Norris (McLaren),45.92784,45.92784,Cloudy,0.3
5,2,Norris (McLaren),46.41131,92.33916,Cloudy,0.3
5,3,Norris (McLaren),46.3913,138.73046,Cloudy,0.3
5,4,Norris (McLaren),45.48745,184.21791,Cloudy,0.3
5,5,Norris (McLaren),45.53892,229.75682,Cloudy,0.3
6,1,Hamilton (Mercedes),45.29677,45.29677,Cloudy,0.3
6,2,Hamilton (Mercedes),45.69314,90.98991,Cloudy,0.3
6,3,Hamilton (Mercedes),45.50646,136.49637,Cloudy,0.3
6,4,Hamilton (Mercedes),45.22161,181.71798,Cloudy,0.3
6,5,Hamilton (Mercedes),45.78806,227.50603,Cloudy,0.3
6,1,Verstappen (Red Bull),46.00679,46.00679,Cloudy,0.3
6,2,Verstappen (Red Bull),46.3234,92.33019,Cloudy,0.3
6,3,Verstappen (Red Bull),45.60009,137.93028,Cloudy,0.3
6,4,Verstappen (Red Bull),45.35606,183.28633,Cloudy,0.3
6,5,Verstappen (Red Bull),45.61427,228.9006,Cloudy,0.3
6,1,Norris (McLaren),46.24435,46.24435,Cloudy,0.3
6,2,Norris (McLaren),46.06634,92.31069,Cloudy,0.3
6,3,Norris (McLaren),45.96496,138.27565,Cloudy,0.3
6,4,Norris (McLaren),45.53553,183.81118,Cloudy,0.3
6,5,Norris (McLaren),45.48461,229.29579,Cloudy,0.3
7,1,Hamilton (Mercedes),47.20205,47.20205,Cloudy,0.3
7,2,Hamilton (Mercedes),46.54786,93.74991,Cloudy,0.3
7,3,Hamilton (Mercedes),45.47523,139.22514,Cloudy,0.3
7,4,Hamilton (Mercedes),46.4065,185.63164,Cloudy,0.3
7,5,Hamilton (Mercedes),45.53555,231.16719,Cloudy,0.3
7,1,Verstappen (Red Bull),45.56222,45.56222,Cloudy,0.3
7,2,Verstappen (Red Bull),45.12962,90.69184,Cloudy,0.3
7,3,Verstappen (Red Bull),45.58328,136.27512,Cloudy,0.3
7,4,Verstappen (Red Bull),45.10904,181.38417,Cloudy,0.3
7,5,Verstappen (Red Bull),45.27673,226.66089,Cloudy,0.3
7,1,Norris (McLaren),46.04092,46.04092,Cloudy,0.3
7,2,Norris (McLaren),46.12497,92.16589,Cloudy,0.3
7,3,Norris (McLaren),44.41268,136.57857,Cloudy,0.3
7,4,Norris (McLaren),46.57627,183.15483,Cloudy,0.3
7,5,Norris (McLaren),44.19029,227.34512,Cloudy,0.3
8,1,Hamilton (Mercedes),45.15185,45.15185,Cloudy,0.3
8,2,Hamilton (Mercedes),45.6828,90.83465,Cloudy,0.3
8,3,Hamilton (Mercedes),46.26364,137.0983,Cloudy,0.3
8,4,Hamilton (Mercedes),45.93551,183.0338,Cloudy,0.3
8,5,Hamilton (Mercedes),45.683,228.7168,Cloudy,0.3
8,1,Verstappen (Red Bull),46.03254,46.03254,Cloudy,0.3
8,2,Verstappen (Red Bull),45.47298,91.50551,Cloudy,0.3
8,3,Verstappen (Red Bull),45.42043,136.92594,Cloudy,0.3
8,4,Verstappen (Red Bull),45.91769,182.84363,Cloudy,0.3
8,5,Verstappen (Red Bull),45.04168,227.88531,Cloudy,0.3
8,1,Norris (McLaren),47.2648,47.2648,Cloudy,0.3
8,2,Norris (McLaren),46.62649,93.89128,Cloudy,0.3
8,3,Norris (McLaren),45.71297,139.60425,Cloudy,0.3
8,4,Norris (McLaren),45.76655,185.3708,Cloudy,0.3
8,5,Norris (McLaren),45.85056,231.22136,Cloudy,0.3
9,1,Hamilton (Mercedes),46.41559,46.41559,Cloudy,0.3
