trial,lap,entrant,lap_time,cumulative_time,weather,wetness
1,1,Hamilton (Mercedes),43.51707,43.51707,Sunny,0.2
1,2,Hamilton (Mercedes),43.78918,87.30624,Sunny,0.2
1,3,Hamilton (Mercedes),42.36509,129.67133,Sunny,0.2
1,4,Hamilton (Mercedes),42.34892,172.02025,Sunny,0.2
1,5,Hamilton (Mercedes),43.65725,215.6775,Sunny,0.2
1,1,Verstappen (Red Bull),44.2387,44.2387,Sunny,0.2
1,2,Verstappen (Red Bull),41.76795,86.00666,Sunny,0.2
1,3,Verstappen (Red Bull),42.48379,128.49045,Sunny,0.2
1,4,Verstappen (Red Bull),43.02765,171.5181,Sunny,0.2
1,5,Verstappen (Red Bull),42.59249,214.11058,Sunny,0.2
1,1,Norris (McLaren),43.08175,43.08175,Sunny,0.2
1,2,Norris (McLaren),43.00859,86.09035,Sunny,0.2
1,3,Norris (McLaren),43.97433,130.06468,Sunny,0.2
1,4,Norris (McLaren),43.3149,173.37958,Sunny,0.2
1,5,Norris (McLaren),43.42028,216.79986,Sunny,0.2
2,1,Hamilton (Mercedes),42.64615,42.64615,Sunny,0.2
2,2,Hamilton (Mercedes),43.69334,86.33949,Sunny,0.2
2,3,Hamilton (Mercedes),44.29258,130.63208,Sunny,0.2
2,4,Hamilton (Mercedes),43.66873,174.30081,Sunny,0.2
2,5,Hamilton (Mercedes),43.12765,217.42846,Sunny,0.2
2,1,Verstappen (Red Bull),42.14129,42.14129,Sunny,0.2
2,2,Verstappen (Red Bull),43.14468,85.28597,Sunny,0.2
2,3,Verstappen (Red Bull),43.12782,128.41379,Sunny,0.2
2,4,Verstappen (Red Bull),42.72502,171.13881,Sunny,0.2
2,5,Verstappen (Red Bull),41.5135,212.6523,Sunny,0.2
2,1,Norris (McLaren),42.69435,42.69435,Sunny,0.2
2,2,Norris (McLaren),42.45167,85.14601,Sunny,0.2
2,3,Norris (McLaren),42.60453,127.75054,Sunny,0.2
2,4,Norris (McLaren),43.41729,171.16784,Sunny,0.2
