trial,lap,entrant,segment_idx,segment_type,length_m,entry_speed,exit_speed,segment_time,mu_effective
1,1,Hamilton (Mercedes),0,STRAIGHT,189.654,0.0,22.853,6.54516,
1,1,Hamilton (Mercedes),1,CORNER,37.344,22.853,22.853,1.67911,1.0255
1,1,Hamilton (Mercedes),2,STRAIGHT,151.966,22.853,30.368,3.43673,
1,1,Hamilton (Mercedes),3,CORNER,113.876,30.368,30.368,3.79489,1.0255
1,1,Hamilton (Mercedes),4,STRAIGHT,186.975,30.368,19.547,3.39699,
1,1,Hamilton (Mercedes),5,CORNER,51.746,19.547,19.547,2.69218,1.0255
1,1,Hamilton (Mercedes),6,STRAIGHT,155.23,19.547,19.101,3.48735,
1,1,Hamilton (Mercedes),7,CORNER,39.867,19.101,19.101,2.13223,1.0255
1,1,Hamilton (Mercedes),8,STRAIGHT,114.148,19.101,31.031,3.22735,
1,1,Hamilton (Mercedes),9,CORNER,128.315,31.031,31.031,4.17999,1.0255
1,1,Hamilton (Mercedes),10,STRAIGHT,177.281,31.031,29.614,3.22169,
1,1,Hamilton (Mercedes),11,CORNER,140.576,29.614,29.614,4.79199,1.0255
1,2,Hamilton (Mercedes),0,STRAIGHT,189.654,0.0,22.853,6.54516,
1,2,Hamilton (Mercedes),1,CORNER,37.344,22.853,22.853,1.67911,1.0255
1,2,Hamilton (Mercedes),2,STRAIGHT,151.966,22.853,30.368,3.43673,
1,2,Hamilton (Mercedes),3,CORNER,113.876,30.368,30.368,3.79489,1.0255
1,2,Hamilton (Mercedes),4,STRAIGHT,186.975,30.368,19.547,3.39699,
1,2,Hamilton (Mercedes),5,CORNER,51.746,19.547,19.547,2.69218,1.0255
1,2,Hamilton (Mercedes),6,STRAIGHT,155.23,19.547,19.101,3.48735,
1,2,Hamilton (Mercedes),7,CORNER,39.867,19.101,19.101,2.13223,1.0255
1,2,Hamilton (Mercedes),8,STRAIGHT,114.148,19.101,31.031,3.22735,
1,2,Hamilton (Mercedes),9,CORNER,128.315,31.031,31.031,4.17999,1.0255
1,2,Hamilton (Mercedes),10,STRAIGHT,177.281,31.031,29.614,3.22169,
1,2,Hamilton (Mercedes),11,CORNER,140.576,29.614,29.614,4.79199,1.0255
1,3,Hamilton (Mercedes),0,STRAIGHT,189.654,0.0,22.853,6.54516,
1,3,Hamilton (Mercedes),1,CORNER,37.344,22.853,22.853,1.67911,1.0255
1,3,Hamilton (Mercedes),2,STRAIGHT,151.966,22.853,30.368,3.43673,
1,3,Hamilton (Mercedes),3,CORNER,113.876,30.368,30.368,3.79489,1.0255
1,3,Hamilton (Mercedes),4,STRAIGHT,186.975,30.368,19.547,3.39699,
1,3,Hamilton (Mercedes),5,CORNER,51.746,19.547,19.547,2.69218,1.0255
1,3,Hamilton (Mercedes),6,STRAIGHT,155.23,19.547,19.101,3.48735,
1,3,Hamilton (Mercedes),7,CORNER,39.867,19.101,19.101,2.13223,1.0255
1,3,Hamilton (Mercedes),8,STRAIGHT,114.148,19.101,31.031,3.22735,
1,3,Hamilton (Mercedes),9,CORNER,128.315,31.031,31.031,4.17999,1.0255
1,3,Hamilton (Mercedes),10,STRAIGHT,177.281,31.031,29.614,3.22169,
1,3,Hamilton (Mercedes),11,CORNER,140.576,29.614,29.614,4.79199,1.0255
1,4,Hamilton (Mercedes),0,STRAIGHT,189.654,0.0,22.853,6.54516,
1,4,Hamilton (Mercedes),1,CORNER,37.344,22.853,22.853,1.67911,1.0255
1,4,Hamilton (Mercedes),2,STRAIGHT,151.966,22.853,30.368,3.43673,
1,4,Hamilton (Mercedes),3,CORNER,113.876,30.368,30.368,3.79489,1.0255
1,4,Hamilton (Mercedes),4,STRAIGHT,186.975,30.368,19.547,3.39699,
1,4,Hamilton (Mercedes),5,CORNER,51.746,19.547,19.547,2.69218,1.0255
1,4,Hamilton (Mercedes),6,STRAIGHT,155.23,19.547,19.101,3.48735,
1,4,Hamilton (Mercedes),7,CORNER,39.867,19.101,19.101,2.13223,1.0255
1,4,Hamilton (Mercedes),8,STRAIGHT,114.148,19.101,31.031,3.22735,
1,4,Hamilton (Mercedes),9,CORNER,128.315,31.031,31.031,4.17999,1.0255
1,4,Hamilton (Mercedes),10,STRAIGHT,177.281,31.031,29.614,3.22169,
1,4,Hamilton (Mercedes),11,CORNER,140.576,29.614,29.614,4.79199,1.0255
1,5,Hamilton (Mercedes),0,STRAIGHT,189.654,0.0,22.853,6.54516,
1,5,Hamilton (Mercedes),1,CORNER,37.344,22.853,22.853,1.67911,1.0255
1,5,Hamilton (Mercedes),2,STRAIGHT,151.966,22.853,30.368,3.43673,
1,5,Hamilton (Mercedes),3,CORNER,113.876,30.368,30.368,3.79489,1.0255
1,5,Hamilton (Mercedes),4,STRAIGHT,186.975,30.368,19.547,3.39699,
1,5,Hamilton (Mercedes),5,CORNER,51.746,19.547,19.547,2.69218,1.0255
1,5,Hamilton (Mercedes),6,STRAIGHT,155.23,19.547,19.101,3.48735,
1,5,Hamilton (Mercedes),7,CORNER,39.867,19.101,19.101,2.13223,1.0255
1,5,Hamilton (Mercedes),8,STRAIGHT,114.148,19.101,31.031,3.22735,
1,5,Hamilton (Mercedes),9,CORNER,128.315,31.031,31.031,4.17999,1.0255
1,5,Hamilton (Mercedes),10,STRAIGHT,177.281,31.031,29.614,3.22169,
1,5,Hamilton (Mercedes),11,CORNER,140.576,29.614,29.614,4.79199,1.0255
1,1,Verstappen (Red Bull),0,STRAIGHT,189.654,0.0,22.69,6.38929,
1,1,Verstappen (Red Bull),1,CORNER,37.344,22.69,22.69,1.69083,1.0106
1,1,Verstappen (Red Bull),2,STRAIGHT,151.966,22.69,30.156,3.36444,
1,1,Verstappen (Red Bull),3,CORNER,113.876,30.156,30.156,3.82117,1.0106
1,1,Verstappen (Red Bull),4,STRAIGHT,186.975,30.156,19.407,3.28486,
1,1,Verstappen (Red Bull),5,CORNER,51.746,19.407,19.407,2.71132,1.0106
