trial,lap,entrant,lap_time,cumulative_time,weather,wetness
1,1,Hamilton (Mercedes),39.86214,39.86214,Foggy,0.4
1,2,Hamilton (Mercedes),40.26583,80.12797,Foggy,0.4
1,3,Hamilton (Mercedes),40.93992,121.06789,Foggy,0.4
1,4,Hamilton (Mercedes),40.50476,161.57266,Foggy,0.4
1,5,Hamilton (Mercedes),40.54287,202.11552,Foggy,0.4
1,1,Verstappen (Red Bull),40.26756,40.26756,Foggy,0.4
1,2,Verstappen (Red Bull),39.134,79.40156,Foggy,0.4
1,3,Verstappen (Red Bull),40.42202,119.82359,Foggy,0.4
1,4,Verstappen (Red Bull),39.49793,159.32152,Foggy,0.4
1,5,Verstappen (Red Bull),39.70671,199.02823,Foggy,0.4
1,1,Norris (McLaren),40.68711,40.68711,Foggy,0.4
1,2,Norris (McLaren),40.63741,81.32452,Foggy,0.4
1,3,Norris (McLaren),40.74341,122.06793,Foggy,0.4
1,4,Norris (McLaren),39.98632,162.05425,Foggy,0.4
1,5,Norris (McLaren),39.12974,201.18399,Foggy,0.4
1,1,Leclerc (Ferrari),39.94985,39.94985,Foggy,0.4
1,2,Leclerc (Ferrari),40.06979,80.01964,Foggy,0.4
1,3,Leclerc (Ferrari),39.47956,119.4992,Foggy,0.4
1,4,Leclerc (Ferrari),39.98324,159.48244,Foggy,0.4
1,5,Leclerc (Ferrari),38.64361,198.12606,Foggy,0.4
2,1,Hamilton (Mercedes),39.1913,39.1913,Foggy,0.4
2,2,Hamilton (Mercedes),41.13672,80.32803,Foggy,0.4
2,3,Hamilton (Mercedes),40.21729,120.54532,Foggy,0.4
2,4,Hamilton (Mercedes),40.6296,161.17492,Foggy,0.4
2,5,Hamilton (Mercedes),39.87049,201.04541,Foggy,0.4
2,1,Verstappen (Red Bull),38.95563,38.95563,Foggy,0.4
2,2,Verstappen (Red Bull),40.90555,79.86117,Foggy,0.4
2,3,Verstappen (Red Bull),39.31151,119.17268,Foggy,0.4
2,4,Verstappen (Red Bull),39.4265,158.59918,Foggy,0.4
2,5,Verstappen (Red Bull),40.11473,198.71391,Foggy,0.4
2,1,Norris (McLaren),38.97849,38.97849,Foggy,0.4
2,2,Norris (McLaren),38.77941,77.7579,Foggy,0.4
2,3,Norris (McLaren),39.96422,117.72212,Foggy,0.4
2,4,Norris (McLaren),38.87869,156.60081,Foggy,0.4
2,5,Norris (McLaren),39.35046,195.95128,Foggy,0.4
2,1,Leclerc (Ferrari),40.15414,40.15414,Foggy,0.4
2,2,Leclerc (Ferrari),39.83262,79.98676,Foggy,0.4
2,3,Leclerc (Ferrari),39.28229,119.26906,Foggy,0.4
2,4,Leclerc (Ferrari),40.01086,159.27992,Foggy,0.4
2,5,Leclerc (Ferrari),39.6648,198.94472,Foggy,0.4
3,1,Hamilton (Mercedes),39.69518,39.69518,Foggy,0.4
3,2,Hamilton (Mercedes),39.72824,79.42343,Foggy,0.4
3,3,Hamilton (Mercedes),40.05996,119.48339,Foggy,0.4
3,4,Hamilton (Mercedes),40.52837,160.01176,Foggy,0.4
3,5,Hamilton (Mercedes),39.94983,199.96159,Foggy,0.4
3,1,Verstappen (Red Bull),39.4727,39.4727,Foggy,0.4
3,2,Verstappen (Red Bull),39.50719,78.97988,Foggy,0.4
3,3,Verstappen (Red Bull),38.84365,117.82353,Foggy,0.4
3,4,Verstappen (Red Bull),40.50128,158.32481,Foggy,0.4
3,5,Verstappen (Red Bull),38.8916,197.21641,Foggy,0.4
3,1,Norris (McLaren),40.03827,40.03827,Foggy,0.4
3,2,Norris (McLaren),39.84079,79.87906,Foggy,0.4
3,3,Norris (McLaren),40.52599,120.40505,Foggy,0.4
3,4,Norris (McLaren),39.56614,159.97119,Foggy,0.4
3,5,Norris (McLaren),39.78761,199.7588,Foggy,0.4
3,1,Leclerc (Ferrari),39.34814,39.34814,Foggy,0.4
3,2,Leclerc (Ferrari),38.74526,78.0934,Foggy,0.4
3,3,Leclerc (Ferrari),38.42434,116.51774,Foggy,0.4
3,4,Leclerc (Ferrari),40.62596,157.1437,Foggy,0.4
3,5,Leclerc (Ferrari),39.14491,196.28861,Foggy,0.4
4,1,Hamilton (Mercedes),40.67975,40.67975,Foggy,0.4
4,2,Hamilton (Mercedes),40.92324,81.60299,Foggy,0.4
4,3,Hamilton (Mercedes),41.01742,122.62041,Foggy,0.4
4,4,Hamilton (Mercedes),40.3002,162.92061,Foggy,0.4
4,5,Hamilton (Mercedes),41.7073,204.62792,Foggy,0.4
4,1,Verstappen (Red Bull),39.40263,39.40263,Foggy,0.4
4,2,Verstappen (Red Bull),39.45279,78.85542,Foggy,0.4
